filename,h2b_id,label
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,1980,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1277,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2030,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,613,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,2799,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2024,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,175,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,1943,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,104,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,808,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,1253,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,1228,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,1910,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1075,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,1200,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2084,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1920,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,474,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,2558,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4542,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4230,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,5106,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,217,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,203,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2434,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2696,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1868,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,3588,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,2410,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1698,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,234,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2178,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1471,0
20220217_h2b halo_cell3_no_ir.rpt_tracked.trxyt,1533,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,3775,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,1176,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,5310,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,954,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,750,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,703,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,941,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,1188,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,779,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4782,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4769,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,1163,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2623,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1464,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,547,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,2439,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,2405,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1869,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1882,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,3576,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4219,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2898,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2654,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,341,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2582,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,427,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,1078,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4392,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2227,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4379,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2555,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,3364,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,362,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,5073,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1060,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4351,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,625,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2293,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2025,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1538,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4609,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1504,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4153,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,3616,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,176,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1248,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,1767,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,162,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,885,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,837,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,649,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,348,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4347,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,412,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,3414,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,19,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,2215,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,343,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,431,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2656,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1670,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,1405,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4031,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2454,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,790,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2483,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2812,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2806,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,3979,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,747,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,7,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,701,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1329,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,1480,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1301,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2387,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,598,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,2412,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,2374,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,3213,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,573,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2657,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,356,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,304,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2581,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,1053,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2938,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,2086,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,4385,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,2556,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,407,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,1090,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,1564,0
20220217_h2b halo_cel8_no_ir.rpt_tracked.trxyt,5064,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1063,0
20220217_h2b halo_cell1_no_ir.rpt_tracked.trxyt,1077,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,154,0
20220217_h2b halo_cel9_no_ir.rpt_tracked.trxyt,2770,0
